warm,precip,plot,2009,2010,2011,2012,2013,2014,2015,2016
C,C,3,7.322429167,9.393442808,7.90855,8.296819059,12.44414352,4.798333333,10.36666667,11.4452381
C,H,8,8.1320125,10.01653279,8.682299573,10.48652508,11.20702623,4.308333333,10.13636364,11.52619048
C,D,9,7.751073611,9.486526042,7.985061966,10.93632446,10.7604213,6.563333333,12.49090909,14.85476191
C,C,6,7.250891667,8.591007887,8.875127778,9.416254244,10.26365895,5.658333333,10.97878788,12.37857143
C,H,11,7.1304125,9.315777728,8.73143547,8.209272762,8.171597222,4.03,10.61212121,11.6047619
C,D,12,6.7107,7.971737698,7.33745812,10.47005556,11.29188889,6.245,13.92121212,15.34047619
C,C,19,5.815680556,7.811115377,7.562541026,10.56469985,9.332564815,5.428333333,15.1030303,17.40238095
C,H,13,6.809313889,8.35258254,7.927335043,7.874157407,8.101074074,4.441666667,13.12727273,12.6452381
C,D,14,7.345033333,8.495547321,7.645134188,10.02055324,10.41591667,6.368333333,14.97575758,16.1452381
C,C,23,6.388051389,6.864868254,6.470924786,8.96162037,8.76462963,5.276666667,13.17272727,14.76428571
C,H,24,7.2918625,9.373527679,8.760665812,7.762243056,10.03283025,4.283333333,11.89090909,13.54761905
C,D,17,6.493429167,8.290943849,7.422806838,10.57601389,10.49225,5.28,15,16.32619048
W,C,1,5.981170833,8.029063889,7.622729915,8.567916667,7.721805556,4.523333333,8.287878789,9.335714286
W,H,2,6.7805,8.893004365,9.345276923,7.108203704,6.892537037,3.006666667,7.393939394,7.602380953
W,D,7,7.040425,9.246673214,8.287107692,11.81094907,10.69161111,6.541666667,10.85757576,13.26904762
W,C,10,6.5226,9.160232242,7.952864103,8.408503858,6.652472222,4.578333333,9.345454546,10.92380952
W,H,5,7.868952778,9.637599802,9.09122735,8.507671296,8.150824074,3.856666667,6.199999999,7.557142857
W,D,4,6.295325,9.196462302,8.577213675,8.101654321,8.32233642,4.75,8.581818181,9.992857143
W,C,20,6.200740278,8.173797817,7.38251453,9.586939815,8.143777778,5.08,10.83333333,11.8
W,H,15,5.768277778,7.875667956,7.864951282,10.1049267,5.652472222,2.588333333,8.06969697,7.690476191
W,D,21,7.508129167,10.23397996,10.33347692,9.199501543,7.969425926,4.701666667,12.65454545,14.55238095
W,C,16,7.075454167,9.429644593,8.937570513,7.67454591,7.767689815,3.731666667,10.96666667,12.20238095
W,H,18,6.923505556,8.219583333,7.605641026,8.19,5.446777778,2.978333333,8.515151516,9.00952381
W,D,22,6.388705556,7.763370635,7.283859829,10.48795679,8.040037037,4.558333333,13.23030303,13.09285714
