warmign,water,plot,,2009,2010,2011,2012,2013,2014,2015,2016
C,C,3,18.0074253,16.22164927,15.345327,20.27323404,17.40965012,20.78726608,20.42804817,18.49616811,15.67764407
C,C,6,17.50690883,16.17306162,16.83471789,19.74885419,16.48889115,18.2890193,22.23822762,19.94339044,16.99995303
C,C,19,17.79060491,16.62169904,15.56893455,22.02665226,15.99818466,18.73755403,21.51169239,16.62080859,17.08545241
C,C,23,17.93935841,16.92759008,17.62816342,19.70079633,15.32197897,20.11826328,21.6767939,16.74663116,17.40998407
C,D,9,18.1287233,16.43935867,16.30288231,20.27576281,17.11625594,20.5093568,21.4082525,19.38089342,16.85415968
C,D,12,18.03786519,16.60665054,16.68419453,21.10459853,15.74163889,20.05224344,21.51162073,18.33717805,16.38583807
C,D,14,17.21392577,15.30087408,16.32543265,19.41566231,16.07918186,18.94847796,20.87163621,17.69574121,17.77221334
C,D,17,17.51999737,17.17311672,16.44463337,19.2118718,16.31091512,18.45944985,21.21134508,16.57772186,17.65727099
C,H,8,18.18416255,16.83526697,17.51369996,19.62967071,16.61667144,20.32550369,22.69584524,20.29765707,17.44709727
C,H,11,18.5010993,16.19181293,16.91939271,21.94389943,16.88521109,20.56518033,21.8383526,19.72222535,17.16883243
C,H,13,18.25564333,17.71072777,16.54359007,21.11368515,16.45798192,19.45223172,22.02783853,16.65028988,17.37885694
C,H,24,17.67626621,16.45419234,15.67093624,20.49850896,16.58796913,19.16972442,21.38478787,16.52623353,17.07685675
W,C,1,20.30870349,20.45815319,17.96707456,22.04210473,18.28717816,22.7890068,24.88653129,22.57172617,17.88384154
W,C,10,20.79777961,18.67204316,18.62018235,22.90788216,19.98093564,23.80785472,23.8239192,21.62450693,18.89741534
W,C,20,20.20824303,17.43285868,18.99079508,24.02081552,18.78350514,21.81324075,24.19502894,19.10679543,18.56008877
W,C,16,20.19858803,18.43734497,17.48511943,23.99411705,18.82210386,22.25425485,24.18431286,19.38080915,18.65830157
W,D,7,20.38149786,19.16258333,18.42588052,24.60232652,19.28679861,20.42990033,23.25549631,21.58775625,19.33335154
W,D,4,19.68616183,18.95744887,18.16591727,22.73816344,17.20661669,21.36266289,24.92741251,22.24371232,19.96521646
W,D,21,21.50448602,20.87032552,19.41798218,24.6370768,19.26226494,23.33478064,25.63372903,18.50347438,18.08619566
W,D,22,19.82068839,16.54548229,18.93242003,22.22688517,18.17919881,23.21945565,23.76488205,17.87453664,18.21957836
W,H,2,21.45379278,21.01451548,18.84134325,25.06803004,19.21698346,23.12809168,25.2635143,21.54200446,19.29466793
W,H,5,20.84437904,18.99314599,19.70007784,23.12689876,19.24580367,23.15596891,26.23372965,22.31912042,20.36398319
W,H,15,22.13465411,19.81161745,19.70011743,24.96644167,21.16888221,25.02621179,26.3331526,19.86363187,19.40480726
W,H,18,21.35269158,19.03008108,18.33857576,25.09528788,20.20720544,24.09230777,25.46525239,20.26022816,19.23050673
